

 Coupon Interest Calculations 2023,,,,,,,,,,,,,,,,,,,,,,,,,
No,First Name,Last Name,Email,Bond Shares,"Nov '23
 b/f", Total Bond share , Percentage Share (%) ,BOZ Award Costs  Value Plus bal b/f, Variance (Difference)  C/F Jan 2024 , FACE Value  ,Discount Value Paid on Maturity,"Less 2%
 Co-op  Discount Fee",Net Discount Value," Coupon Payment at
2 yr Maturity ", Less 15% GRZ Withholding Tax , Less 1% BOZ Fees , 2 yr Coupon Payment Net of WHT & BOZ Fees , Semi-Annual Coupon 26.12.24 , Less 15% GRZ Withholding Tax , Less 1% BOZ Fees , First Coupon Payment from BOZ ,Less 2% Coop Fees,Net Coupon Payment,,
1,James,Smith,james.smith@example.com,"10,000.00", -   ," 10,000.00 ",1.75%," 19,027.74 ","-9,027.74 "," 21,891.42 "," 2,863.68 ", 57.27 ," 2,806.41 "," 3,945.85 ",(591.88),(39.46),"3,314.52",987.81,(148.17),(9.88),829.76,(19.76),810.01,,
2,Mary,Johnson,mary.johnson@example.com," 20,000.00 ", -   ," 20,000.00 ",3.50%," 38,055.47 ","-18,055.47 "," 43,782.84 "," 5,727.36 ", 114.55 ," 5,612.82 "," 7,891.71 ","(1,183.76)",(78.92),"6,629.03","1,975.63",(296.34),(19.76),"1,659.53",(39.51),"1,620.01",,
3,Robert,Williams,robert.williams@example.com,"10,000.00", -   ," 10,000.00 ",1.75%," 19,027.74 ","-9,027.74 "," 21,891.42 "," 2,863.68 ", 57.27 ," 2,806.41 "," 3,945.85 ",(591.88),(39.46),"3,314.52",987.81,(148.17),(9.88),829.76,(19.76),810.01,,
4,Patricia,Brown,patricia.brown@example.com,"5,000.00", -   ," 5,000.00 ",0.88%," 9,513.87 ","-4,513.87 "," 10,945.71 "," 1,431.84 ", 28.64 ," 1,403.20 "," 1,972.93 ",(295.94),(19.73),"1,657.26",493.91,(74.09),(4.94),414.88,(9.88),405.00,,
5,Michael,Jones,michael.jones@example.com,"6,000.00", -   ," 6,000.00 ",1.05%," 11,416.64 ","-5,416.64 "," 13,134.85 "," 1,718.21 ", 34.36 ," 1,683.85 "," 2,367.51 ",(355.13),(23.68),"1,988.71",592.69,(88.90),(5.93),497.86,(11.85),486.00,,
6,Jennifer,Garcia,jennifer.garcia@example.com,"20,000.00", -   ," 20,000.00 ",3.50%," 38,055.47 ","-18,055.47 "," 43,782.84 "," 5,727.36 ", 114.55 ," 5,612.82 "," 7,891.71 ","(1,183.76)",(78.92),"6,629.03","1,975.63",(296.34),(19.76),"1,659.53",(39.51),"1,620.01",,
7,William,Miller,william.miller@example.com,"50,000.00", -   ," 50,000.00 ",8.76%," 95,138.68 ","-45,138.68 "," 109,457.09 "," 14,318.41 ", 286.37 ," 14,032.04 "," 19,729.27 ","(2,959.39)",(197.29),"16,572.58","4,939.06",(740.86),(49.39),"4,148.81",(98.78),"4,050.03",,
8,Linda,Davis,linda.davis@example.com,"50,000.00", -   ," 50,000.00 ",8.76%," 95,138.68 ","-45,138.68 "," 109,457.09 "," 14,318.41 ", 286.37 ," 14,032.04 "," 19,729.27 ","(2,959.39)",(197.29),"16,572.58","4,939.06",(740.86),(49.39),"4,148.81",(98.78),"4,050.03",,
9,David,Rodriguez,david.rodriguez@example.com,"100,000.00", -   ," 100,000.00 ",17.51%," 190,277.36 ","-90,277.36 "," 218,914.19 "," 28,636.82 ", 572.74 ," 28,064.08 "," 39,458.53 ","(5,918.78)",(394.59),"33,145.17","9,878.13","(1,481.72)",(98.78),"8,297.63",(197.56),"8,100.06",,
10,Barbara,Martinez,barbara.martinez@example.com,"5,000.00", -   ," 5,000.00 ",0.88%," 9,513.87 ","-4,513.87 "," 10,945.71 "," 1,431.84 ", 28.64 ," 1,403.20 "," 1,972.93 ",(295.94),(19.73),"1,657.26",493.91,(74.09),(4.94),414.88,(9.88),405.00,,
11,Richard,Hernandez,richard.hernandez@example.com,"50,000.00", -   ," 50,000.00 ",8.76%," 95,138.68 ","-45,138.68 "," 109,457.09 "," 14,318.41 ", 286.37 ," 14,032.04 "," 19,729.27 ","(2,959.39)",(197.29),"16,572.58","4,939.06",(740.86),(49.39),"4,148.81",(98.78),"4,050.03",,
12,Susan,Lopez,susan.lopez@example.com,"60,000.00", -   ," 60,000.00 ",10.51%," 114,166.42 ","-54,166.42 "," 131,348.51 "," 17,182.09 ", 343.64 ," 16,838.45 "," 23,675.12 ","(3,551.27)",(236.75),"19,887.10","5,926.88",(889.03),(59.27),"4,978.58",(118.54),"4,860.04",,
13,Joseph,Gonzalez,joseph.gonzalez@example.com,"3,000.00", -   ," 3,000.00 ",0.53%," 5,708.32 ","-2,708.32 "," 6,567.43 ", 859.10 , 17.18 , 841.92 ," 1,183.76 ",(177.56),(11.84),994.36,296.34,(44.45),(2.96),248.93,(5.93),243.00,,
14,Jessica,Wilson,jessica.wilson@example.com,"20,000.00", -   ," 20,000.00 ",3.50%," 38,055.47 ","-18,055.47 "," 43,782.84 "," 5,727.36 ", 114.55 ," 5,612.82 "," 7,891.71 ","(1,183.76)",(78.92),"6,629.03","1,975.63",(296.34),(19.76),"1,659.53",(39.51),"1,620.01",,
15,Thomas,Anderson,thomas.anderson@example.com,"20,000.00", -   ," 20,000.00 ",3.50%," 38,055.47 ","-18,055.47 "," 43,782.84 "," 5,727.36 ", 114.55 ," 5,612.82 "," 7,891.71 ","(1,183.76)",(78.92),"6,629.03","1,975.63",(296.34),(19.76),"1,659.53",(39.51),"1,620.01",,
16,Sarah,Thomas,sarah.thomas@example.com,"40,000.00", -   ," 40,000.00 ",7.01%," 76,110.95 ","-36,110.95 "," 87,565.67 "," 11,454.73 ", 229.09 ," 11,225.63 "," 15,783.41 ","(2,367.51)",(157.83),"13,258.07","3,951.25",(592.69),(39.51),"3,319.05",(79.03),"3,240.03",,"Unpaid, pening receipt of account details"
17,Charles,Taylor,charles.taylor@example.com,"72,000.00", -   ," 72,000.00 ",12.61%," 136,999.70 ","-64,999.70 "," 157,618.21 "," 20,618.51 ", 412.37 ," 20,206.14 "," 28,410.14 ","(4,261.52)",(284.10),"23,864.52","7,112.25","(1,066.84)",(71.12),"5,974.29",(142.25),"5,832.05",,
18,Karen,Moore,karen.moore@example.com,"10,000.00",," 10,000.00 ",1.75%," 19,027.74 ","-9,027.74 "," 21,891.42 "," 2,863.68 ", 57.27 ," 2,806.41 "," 3,945.85 ",(591.88),(39.46),"3,314.52",987.81,(148.17),(9.88),829.76,(19.76),810.01,,
19,Christopher,Jackson,christopher.jackson@example.com,"10,000.00", -   ," 10,000.00 ",1.75%," 19,027.74 ","-9,027.74 "," 21,891.42 "," 2,863.68 ", 57.27 ," 2,806.41 "," 3,945.85 ",(591.88),(39.46),"3,314.52",987.81,(148.17),(9.88),829.76,(19.76),810.01,,
20,Nancy,Martin,nancy.martin@example.com,"10,000.00", -   ," 10,000.00 ",1.75%," 19,027.74 ","-9,027.74 "," 21,891.42 "," 2,863.68 ", 57.27 ," 2,806.41 "," 3,945.85 ",(591.88),(39.46),"3,314.52",987.81,(148.17),(9.88),829.76,(19.76),810.01,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Totals," 571,000.00 ", -   ," 571,000.00 ",100%,"1,086,483.75","(515,483.75)","1,250,000.00","163,516.25","3,270.33","160,245.93","225,308.22","(33,796.23)","(2,253.08)","189,258.90","56,404.11","(8,460.62)",(564.04),"47,379.45","(1,128.08)","46,251.37",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BOZ Awarded Amt," 1,086,483.75 ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Yield Rate,17%,,,,,,,,,,,,,,
,,,,,,,,,,Coupon Rate,9%,,,,,,,,,,,,,,
,,,,,,,,,,Period,2-Year Bond,,,,,,,,,,,,,,
,,,,,,,,,,Awarded Price,86.9187,,,,,,,,,,,,,,
,,,,,,,,,,US$ Exchange Rate,25,,,,,,,,,,,,,,
,,,,,,,,,,GRZ Withholding Tax,15%,,,,,,,,,,,,,,
,,,,,,,,,,BOZ Fees,1%,,,,,,,,,,,,,,
,,,,,,,,,,Globo Co-op Commission,2%,,,,,,,,,,,,,,
,,,,,,,,,,Globo Co-op Discount Fee,2%,,,,,,,,,,,,,,
,,,,,,,,,,"Calendar Days  Dec 26, 2023-June 26, 2024",183,,,,,,,,,,,,,,
,,,,,,,,,,"Calendar Days   Jun 26, 2024- June 26, 2025",365,,,,,,,,,,,,,,
,,,,,,,,,,"Calendar Days  Jun 27, 2024 - Dec 26, 2024",183,,,,,,,,,,,,,,
,,,,,,,,,,"Calendar Days Dec 27, 2023 - Jun 26, 2025",731,,,,,,,,,,,,,,
,,,,,,,,,,Daily Coupon rate,0.0247%,,,,,,,,,,,,,,
,,,,,,,,,,BOZ 1st Coupon Payment,47379.45,,,,,,,,,,,,,,
